iter	Passed	Remaining
171	22567	108640
172	22701	108521
173	22836	108407
174	22970	108291
175	23123	108260
176	23254	108125
177	23386	108000
178	23520	107879
179	23655	107763
180	23789	107641
181	23923	107522
182	24057	107404
183	24191	107283
184	24325	107163
185	24457	107036
186	24591	106911
187	24724	106789
188	24858	106665
189	24997	106566
190	25129	106440
191	25264	106320
192	25397	106197
193	25532	106077
194	25666	105955
195	25798	105828
196	25933	105707
197	26067	105586
198	26200	105461
199	26333	105335
200	26467	105210
201	26601	105089
202	26735	104966
203	26868	104840
204	27003	104719
205	27136	104595
206	27271	104473
207	27404	104347
208	27537	104222
209	27670	104094
210	27805	103973
211	27940	103853
212	28074	103729
213	28210	103612
214	28343	103486
215	28477	103361
216	28610	103236
217	28745	103112
218	28877	102982
219	29011	102859
220	29145	102734
221	29278	102606
222	29412	102481
223	29548	102362
224	29681	102237
225	29814	102109
226	29947	101980
227	30082	101856
228	30217	101737
229	30352	101613
230	30487	101491
231	30620	101365
232	30754	101239
233	30888	101113
234	31022	100989
235	31156	100863
236	31291	100741
237	31425	100614
238	31559	100488
239	31692	100359
240	31826	100233
241	31960	100106
242	32092	99975
243	32225	99845
244	32358	99717
245	32491	99587
246	32625	99460
247	32758	99332
248	32910	99261
249	33051	99153
250	33184	99025
251	33337	98953
252	33466	98813
253	33598	98678
254	33732	98550
255	33865	98422
256	34000	98296
257	34133	98166
258	34266	98037
259	34400	97908
260	34534	97781
261	34668	97653
262	34801	97523
263	34935	97394
264	35068	97265
265	35202	97138
266	35335	97007
267	35469	96880
268	35604	96755
269	35738	96626
270	35872	96498
271	36005	96366
272	36139	96239
273	36272	96110
274	36406	95982
275	36540	95852
276	36675	95725
277	36808	95595
278	36942	95469
279	37075	95336
280	37209	95207
281	37342	95077
282	37477	94952
283	37611	94822
284	37743	94690
285	37876	94558
286	38010	94430
287	38143	94297
288	38296	94217
289	38426	94078
290	38557	93942
291	38688	93806
292	38821	93675
293	38953	93541
294	39086	93409
295	39220	93281
296	39354	93151
297	39489	93024
298	39623	92897
299	39759	92771
300	39892	92639
301	40025	92508
302	40158	92377
303	40291	92245
304	40424	92115
305	40560	91990
306	40694	91861
307	40828	91731
308	40963	91603
309	41096	91473
310	41230	91343
311	41366	91218
312	41501	91091
313	41635	90961
314	41769	90831
315	41902	90701
316	42035	90568
317	42169	90440
318	42303	90308
319	42436	90176
320	42570	90048
321	42704	89918
322	42837	89786
323	42972	89658
324	43105	89525
325	43259	89438
326	43387	89296
327	43521	89165
328	43653	89032
329	43787	88902
330	43920	88770
331	44053	88637
332	44185	88504
333	44319	88372
334	44451	88239
335	44584	88108
336	44720	87981
337	44854	87851
338	44988	87720
339	45122	87591
340	45258	87464
341	45391	87332
342	45524	87199
343	45658	87070
344	45793	86941
345	45928	86812
346	46063	86683
347	46196	86552
348	46329	86419
349	46463	86289
350	46598	86161
351	46732	86030
352	46866	85898
353	47001	85770
354	47134	85639
355	47267	85506
356	47401	85374
357	47534	85243
358	47666	85109
359	47800	84978
360	47933	84846
361	48066	84714
362	48221	84619
363	48353	84485
364	48483	84348
365	48615	84212
366	48752	84087
367	48887	83959
368	49023	83831
369	49160	83704
370	49293	83573
371	49426	83440
372	49560	83309
373	49694	83178
374	49835	83058
375	49969	82928
376	50103	82797
377	50239	82668
378	50374	82539
379	50507	82407
380	50640	82274
381	50774	82143
382	50907	82010
383	51042	81880
384	51176	81749
385	51313	81622
386	51445	81489
387	51582	81361
388	51716	81230
389	51849	81097
390	51982	80964
391	52115	80832
392	52249	80700
393	52384	80571
394	52519	80441
395	52653	80309
396	52787	80178
397	52921	80047
398	53058	79920
399	53193	79790
400	53330	79662
401	53465	79533
402	53599	79401
403	53734	79271
404	53869	79141
405	54003	79009
406	54138	78880
407	54272	78748
408	54406	78616
409	54539	78484
410	54674	78352
411	54807	78220
412	54940	78087
413	55075	77956
414	55208	77824
415	55345	77696
416	55478	77563
417	55612	77432
418	55748	77302
419	55881	77169
420	56015	77038
421	56148	76905
422	56282	76772
423	56417	76642
424	56551	76510
425	56684	76377
426	56829	76260
427	56973	76142
428	57107	76009
429	57240	75876
430	57374	75745
431	57507	75612
432	57641	75479
433	57773	75345
434	57908	75214
435	58041	75081
436	58175	74949
437	58328	74841
438	58457	74703
439	58588	74567
440	58720	74432
441	58853	74298
442	58985	74164
443	59119	74031
444	59252	73899
445	59386	73766
446	59519	73633
447	59652	73500
448	59785	73366
449	59918	73234
450	60052	73101
451	60186	72969
452	60319	72836
453	60452	72703
454	60586	72570
455	60720	72438
456	60853	72304
457	60985	72170
458	61120	72040
459	61254	71907
460	61389	71776
461	61522	71643
462	61656	71510
463	61791	71379
464	61924	71246
465	62057	71113
466	62192	70981
467	62325	70848
468	62458	70715
469	62591	70581
470	62722	70446
471	62858	70315
472	62992	70184
473	63126	70051
474	63260	69919
475	63412	69807
476	63541	69669
477	63672	69533
478	63803	69398
479	63938	69266
480	64073	69135
481	64208	69003
482	64343	68872
483	64476	68739
484	64609	68605
485	64742	68472
486	64875	68339
487	65008	68206
488	65141	68072
489	65278	67942
490	65411	67809
491	65544	67675
492	65677	67542
493	65810	67409
494	65945	67277
495	66078	67144
496	66212	67011
497	66345	66878
498	66482	66749
499	66616	66616
500	66750	66484
501	66884	66351
502	67019	66219
503	67152	66086
504	67286	65953
505	67423	65824
506	67556	65690
507	67689	65557
508	67822	65423
509	67956	65291
510	68090	65158
511	68223	65025
512	68357	64892
513	68490	64759
514	68623	64626
515	68756	64492
516	68889	64359
517	69023	64226
518	69158	64094
519	69291	63961
520	69425	63828
521	69558	63695
522	69691	63562
523	69825	63429
524	69960	63297
525	70093	63164
526	70228	63032
527	70362	62899
528	70495	62766
529	70627	62632
530	70760	62498
531	70894	62365
532	71028	62233
533	71161	62100
534	71296	61967
535	71429	61834
536	71564	61702
537	71697	61568
538	71830	61435
539	71964	61302
540	72098	61170
541	72231	61036
542	72364	60903
543	72499	60772
544	72634	60639
545	72766	60505
546	72899	60371
547	73032	60238
548	73167	60106
549	73301	59973
550	73454	59856
551	73581	59718
552	73712	59583
553	73843	59448
554	73977	59315
555	74110	59181
556	74243	59048
557	74378	58915
558	74510	58781
559	74644	58649
560	74776	58515
561	74911	58383
562	75044	58249
563	75177	58116
564	75310	57982
565	75444	57849
566	75577	57716
567	75712	57584
568	75845	57450
569	75978	57317
570	76112	57184
571	76245	57050
572	76378	56917
573	76510	56783
574	76644	56650
575	76778	56517
576	76913	56385
577	77047	56252
578	77182	56120
579	77316	55987
580	77450	55854
581	77583	55721
582	77717	55588
583	77850	55454
584	77983	55321
585	78117	55189
586	78250	55055
587	78384	54922
588	78518	54789
589	78655	54658
590	78789	54526
591	78922	54392
592	79063	54264
593	79197	54131
594	79331	53998
595	79464	53865
596	79598	53732
597	79730	53597
598	79863	53464
599	79998	53332
600	80131	53198
601	80264	53065
602	80399	52933
603	80533	52800
604	80666	52666
605	80799	52532
606	80933	52399
607	81065	52266
608	81199	52133
609	81333	51999
610	81466	51866
611	81613	51741
612	81757	51615
613	81890	51481
614	82025	51349
615	82158	51215
616	82291	51082
617	82425	50949
618	82559	50815
619	82693	50682
620	82826	50549
621	82960	50416
622	83094	50283
623	83227	50149
624	83361	50017
625	83494	49883
626	83627	49749
627	83780	49627
628	83909	49491
629	84039	49356
630	84170	49221
631	84310	49092
632	84444	48959
633	84577	48825
634	84711	48692
635	84843	48558
636	84977	48425
637	85111	48291
638	85243	48157
639	85376	48024
640	85511	47891
641	85645	47758
642	85778	47624
643	85911	47491
644	86045	47358
645	86179	47225
646	86312	47091
647	86447	46958
648	86581	46826
649	86713	46692
650	86848	46559
651	86981	46425
652	87115	46292
653	87248	46158
654	87383	46026
655	87517	45893
656	87651	45759
657	87786	45627
658	87919	45494
659	88053	45360
660	88187	45227
661	88320	45094
662	88454	44961
663	88586	44827
664	88739	44703
665	88868	44567
666	89000	44433
667	89135	44300
668	89267	44166
669	89400	44033
670	89534	43900
671	89667	43766
672	89800	43632
673	89933	43499
674	90066	43365
675	90200	43231
676	90333	43098
677	90466	42965
678	90600	42831
679	90733	42698
680	90867	42564
681	91001	42431
682	91135	42298
683	91268	42164
684	91401	42031
685	91535	41897
686	91669	41764
687	91803	41631
688	91936	41498
689	92070	41365
690	92204	41231
691	92337	41098
692	92472	40965
693	92604	40831
694	92738	40698
695	92871	40564
696	93004	40431
697	93138	40297
698	93271	40164
699	93407	40031
700	93540	39898
701	93675	39765
702	93827	39639
703	93959	39505
704	94090	39371
705	94223	39237
706	94356	39103
707	94489	38970
708	94621	38836
709	94755	38702
710	94889	38569
711	95022	38435
712	95155	38302
713	95288	38168
714	95422	38035
715	95554	37901
716	95688	37768
717	95823	37635
718	95955	37501
719	96090	37368
720	96224	37235
721	96358	37101
722	96490	36968
723	96623	36834
724	96757	36701
725	96890	36567
726	97023	36434
727	97156	36300
728	97290	36167
729	97424	36033
730	97558	35900
731	97692	35767
732	97825	35633
733	97959	35500
734	98094	35367
735	98227	35233
736	98361	35100
737	98494	34967
738	98628	34833
739	98764	34700
740	98907	34571
741	99039	34436
742	99171	34302
743	99306	34170
744	99441	34037
745	99575	33903
746	99722	33774
747	99872	33646
748	100032	33522
749	100191	33397
750	100325	33263
751	100459	33130
752	100593	32996
753	100728	32863
754	100861	32729
755	100995	32596
756	101128	32462
757	101262	32329
758	101394	32195
759	101527	32061
760	101662	31928
761	101796	31794
762	101928	31660
763	102063	31527
764	102197	31393
765	102332	31260
766	102465	31127
767	102599	30993
768	102733	30860
769	102868	30726
770	103004	30594
771	103141	30461
772	103275	30328
773	103409	30194
774	103543	30060
775	103677	29927
776	103810	29793
777	103944	29660
778	104079	29526
779	104224	29396
780	104358	29263
781	104492	29129
782	104626	28996
783	104759	28862
784	104894	28729
785	105027	28595
786	105161	28461
787	105295	28328
788	105429	28194
789	105563	28061
790	105696	27927
791	105829	27793
792	105965	27660
793	106099	27527
794	106232	27393
795	106365	27259
796	106499	27125
797	106632	26992
798	106767	26858
799	106900	26725
800	107033	26591
801	107168	26458
802	107301	26324
803	107437	26191
804	107571	26057
805	107720	25927
806	107863	25796
807	107996	25662
808	108131	25529
809	108276	25398
810	108413	25265
811	108546	25131
812	108680	24997
813	108814	24864
814	108968	24735
815	109099	24600
816	109232	24466
817	109364	24332
818	109498	24199
819	109632	24065
820	109765	23931
821	109899	23798
822	110031	23664
823	110167	23531
824	110302	23397
825	110436	23263
826	110570	23130
827	110704	22996
828	110838	22862
829	110972	22729
830	111105	22595
831	111239	22461
832	111372	22327
833	111506	22194
834	111640	22060
835	111775	21927
836	111909	21793
837	112042	21659
838	112176	21526
839	112310	21392
840	112444	21258
841	112578	21125
842	112712	20991
843	112845	20857
844	112981	20724
845	113114	20590
846	113248	20456
847	113381	20323
848	113514	20189
849	113650	20055
850	113787	19922
851	113942	19792
852	114072	19658
853	114204	19524
854	114337	19390
855	114471	19256
856	114606	19123
857	114742	18989
858	114877	18856
859	115011	18722
860	115146	18589
861	115278	18455
862	115413	18321
863	115551	18188
864	115685	18055
865	115819	17921
866	115954	17787
867	116088	17654
868	116223	17520
869	116357	17386
870	116494	17253
871	116629	17119
872	116765	16986
873	116901	16853
874	117035	16719
875	117170	16585
876	117305	16452
877	117441	16318
878	117576	16185
879	117712	16051
880	117846	15918
881	117980	15784
882	118116	15650
883	118251	15517
884	118387	15383
885	118521	15249
886	118656	15116
887	118791	14982
888	118925	14849
889	119061	14715
890	119195	14581
891	119329	14447
892	119464	14314
893	119597	14180
894	119733	14046
895	119867	13913
896	120000	13779
897	120135	13645
898	120271	13512
899	120405	13378
900	120540	13244
901	120675	13111
902	120810	12977
903	120944	12843
904	121078	12709
905	121213	12576
906	121348	12442
907	121482	12308
908	121617	12175
909	121752	12041
910	121887	11907
911	122022	11774
912	122157	11640
913	122291	11506
914	122425	11372
915	122559	11239
916	122698	11105
917	122833	10972
918	122966	10838
919	123101	10704
920	123236	10570
921	123370	10436
922	123503	10303
923	123639	10169
924	123777	10035
925	123912	9902
926	124048	9768
927	124184	9634
928	124319	9501
929	124455	9367
930	124589	9233
931	124724	9100
932	124860	8966
933	124996	8832
934	125130	8698
935	125264	8565
936	125398	8431
937	125533	8297
938	125668	8163
939	125809	8030
940	125944	7896
941	126079	7762
942	126214	7629
943	126348	7495
944	126482	7361
945	126616	7227
946	126752	7093
947	126887	6960
948	127022	6826
949	127158	6692
950	127291	6558
951	127425	6424
952	127560	6291
953	127695	6157
954	127831	6023
955	127969	5889
956	128104	5756
957	128238	5622
958	128374	5488
959	128510	5354
960	128646	5220
961	128780	5086
962	128916	4953
963	129051	4819
964	129186	4685
965	129320	4551
966	129454	4417
967	129589	4283
968	129724	4150
969	129861	4016
970	129996	3882
971	130131	3748
972	130266	3614
973	130405	3481
974	130541	3347
975	130678	3213
976	130814	3079
977	130952	2945
978	131088	2811
979	131223	2678
980	131358	2544
981	131493	2410
982	131627	2276
983	131762	2142
984	131905	2008
985	132040	1874
986	132182	1741
987	132334	1607
988	132470	1473
989	132607	1339
990	132741	1205
991	132879	1071
992	133016	937
993	133153	803
994	133288	669
995	133424	535
996	133558	401
997	133692	267
998	133828	133
999	133965	0
